JOKER 6 271 200 271
RECT 223 200 223 232 2
RECT 123 138 137 141 7
RECT 105 201 117 215 5
RECT 101 197 128 207 0
RECT 23 103 47 103 2
RECT 81 138 102 145 2
RECT 78 121 83 149 0
RECT 223 52 223 82 2
RECT 111 136 136 144 7
RECT 220 228 220 247 2
RECT 0 66 0 86 2
RECT 103 131 120 158 0
RECT 104 111 116 120 3
RECT 120 152 140 152 2
RECT 129 268 158 268 2
RECT 7 211 16 212 7
RECT 223 226 223 245 2
RECT 39 276 41 287 5
RECT 88 24 117 24 2
RECT 223 178 223 202 2
RECT 60 149 60 166 2
RECT 4 103 32 103 2
RECT 108 133 112 146 6
RECT 203 24 216 24 2
RECT 134 134 137 143 0
RECT 99 172 119 172 2
RECT 34 285 62 287 0
RECT 186 176 218 176 2
RECT 223 243 223 267 2
RECT 46 27 78 27 2
RECT 223 18 223 48 2
RECT 82 110 104 119 0
RECT 98 159 99 165 5
RECT 173 268 185 268 2
RECT 105 140 121 144 6
RECT 108 205 112 210 5
RECT 82 134 88 162 0
RECT 20 276 26 281 5
RECT 220 188 220 208 2
RECT 84 83 110 83 2
RECT 177 151 209 151 2
RECT 215 11 223 27 0
RECT 55 268 73 268 2
RECT 116 227 137 227 2
RECT 105 220 132 220 2
RECT 106 136 118 137 6
RECT 208 50 213 54 7
RECT 223 77 223 95 2
RECT 11 50 14 56 7
RECT 172 146 183 152 0
RECT 0 72 0 100 2
RECT 108 223 108 240 2
RECT 208 212 222 213 7
RECT 108 76 125 76 2
RECT 115 189 115 201 2
RECT 17 196 41 196 2
RECT 163 76 163 95 2
RECT 42 275 44 279 5
RECT 136 44 150 44 2
RECT 78 152 110 152 2
RECT 133 196 160 196 2
RECT 36 205 36 228 2
RECT 193 278 204 284 3
RECT 109 24 130 24 2
RECT 55 44 79 44 2
RECT 3 185 3 193 2
RECT 95 125 120 126 1
RECT 163 24 194 24 2
RECT 188 271 211 271 2
RECT 79 123 105 134 0
RECT 198 268 215 268 2
RECT 156 223 156 236 2
RECT 75 100 95 100 2
RECT 134 107 154 107 2
RECT 119 136 121 160 0
RECT 26 83 46 83 2
RECT 40 76 71 103 0
RECT 197 131 215 131 2
RECT 60 112 60 130 2
RECT 50 38 61 55 0
RECT 17 173 21 203 0
RECT 185 148 213 148 2
RECT 89 194 105 216 0
RECT 23 128 33 128 2
RECT 93 76 114 76 2
RECT 136 24 156 24 2
RECT 199 272 206 279 0
RECT 3 51 3 71 2
RECT 181 131 204 131 2
RECT 96 132 98 142 2
RECT 220 232 220 256 2
RECT 192 179 220 179 2
RECT 66 151 84 178 0
RECT 3 31 3 47 2
RECT 115 33 115 49 2
RECT 208 207 216 214 7
RECT 40 244 64 244 2
RECT 15 24 41 24 2
RECT 20 251 44 251 2
RECT 0 216 0 227 2
RECT 38 3 42 6 1
RECT 90 98 109 103 0
RECT 104 152 133 152 2
RECT 215 208 221 229 0
RECT 43 113 43 137 2
RECT 59 228 74 244 0
RECT 8 277 20 287 0
